,navn,type_bhg,privat_bhg,år,antall_barn,barn_per_voksen,bhg_areal,addresse,latitudes,longitudes
67,Slingrebekken barnehage,Kommunal,False,1 - 5 år,78,6,"4,5 m2","Stampeleina 2, 3475 SÆTRE",59.6669352,10.5317314
68,Solgården barnehage,Kommunal,False,1 - 5 år,112,"5,9","5,8 m2","Kirkeveien 100, 1384 ASKER",59.8492037,10.4463977
69,Solstad barnehage,Kommunal,False,1 - 5 år,53,"5,8","4,5 m2","Solstadveien 77, 1395 HVALSTAD",59.8591128,10.4602838
70,Spikkestad Kanvas-barnehage,Privat,True,1 - 5 år,57,6,"4,6 m2","Teglverksveien 8, 3430 SPIKKESTAD",59.745769,10.3369059
71,Spiren barnehage,Privat,True,1 - 5 år,27,"5,5","5,3 m2","Hurumveien 42, 3474 ÅROS",59.7026338,10.5183786
72,Stiftelsen Tertitten barnehage,Privat,True,1 - 5 år,19,"5,8","4,6 m2","Solstadveien 79, 1395 HVALSTAD",59.8590784,10.4606844
73,Stiftelsen Vollen montessoribarnehage,Privat,True,1 - 5 år,82,"5,8","4,8 m2","Vollenveien 34, 1390 VOLLEN",59.80551639999999,10.47712
74,Stinaløkka Kanvas-barnehage,Privat,True,1 - 5 år,58,"5,4","6,8 m2","Verkensveien 22, 1385 ASKER",59.79997179999999,10.3719189
75,Sydskogen barnehage,Kommunal,False,1 - 5 år,60,"5,8",4 m2,"Tors vei 182, 3472 BØDALEN",59.76109489999999,10.4533907
76,Søndre Borgen barnehage,Kommunal,False,1 - 5 år,59,"5,7","4,7 m2","Søndre Borgen 16, 1388 BORGEN",59.82671260000001,10.4249538
77,Torp Høymyr barnehage SA,Privat,True,1 - 5 år,55,"5,5","5,5 m2","Torpmarka 156, 1389 HEGGEDAL",59.7872844,10.4710112
78,Torvbråten Kanvas-barnehage,Privat,True,1 - 5 år,62,6,"4,3 m2","Østskogveien 40, 3470 SLEMMESTAD",59.7611348,10.4779388
79,"Trollstua, Frelsesarmeens barnehage i Asker AS",Privat,True,1 - 5 år,61,6,5 m2,"Brendsrudtoppen 60, 1385 ASKER",59.8227803,10.3853444
80,Utforskeren Kanvas-barnehage,Privat,True,1 - 5 år,82,"5,8","5,4 m2","Kirkealleen 114, 3470 SLEMMESTAD",59.77810760000001,10.4901931
81,Utsikt1 familiebarnehage,Privat,True,1 - 2 år,8,-1,-1 m2,"Falkeveien 25, 3475 SÆTRE",59.6703063,10.5328245
82,Vardåsen barnehage SA,Privat,True,1 - 5 år,60,6,"5,7 m2","Slottsberget 6, 1385 ASKER",59.81956839999999,10.382486
83,Vekstbarnehagen,Privat,True,1 - 5 år,28,"5,8","7,1 m2","Årengveien 1B, 1394 NESBRU",59.8652381,10.4910362
84,Vendla barnehage,Kommunal,False,1 - 5 år,132,"5,8","5,2 m2","Søndre vei 12, 1397 NESØYA",59.8625754,10.5258195
85,Vikingjordet barnehage Åmotåsen,Kommunal,False,1 - 5 år,72,"5,7","5,1 m2","Åmotåsen 1, 1389 HEGGEDAL",59.782766,10.4321992
86,Vollen familiebarnehage,Privat,True,1 - 2 år,4,-1,-1 m2,"Råengveien 3A, 1390 VOLLEN",59.7991924,10.4860571
87,Vollen kystkulturbarnehage AS,Privat,True,1 - 5 år,37,"5,8","7,4 m2","Eternitveien 27, 3470 SLEMMESTAD",59.78765720000001,10.4931494
88,Ødegården Barnehagedrift AS,Privat,True,1 - 5 år,94,6,"5,5 m2","Storsandveien 5B, 3475 SÆTRE",59.65852820000001,10.5791184
89,Østenstad menighetsbarnehage,Privat,True,1 - 5 år,18,"5,9","5,4 m2","Gudolf Blakstads vei 40, 1392 VETTRE",59.8126431,10.463885
90,Østhellinga barnehage,Kommunal,False,1 - 5 år,47,"5,4","4,8 m2","Østhellinga 21, 1388 BORGEN",59.8154122,10.428939
91,Åby barnehage,Kommunal,False,1 - 5 år,72,"5,9","4,6 m2","Åbyfaret 201, 1392 VETTRE",59.82153340000001,10.4563418
92,Ånnerud Barnehus SA,Privat,True,1 - 5 år,29,"5,9","4,8 m2","Gamle Drammensvei 308, 1383 ASKER",59.83022769999999,10.4052149
93,Ånnerudtoppen barnehage SA,Privat,True,1 - 5 år,80,"5,6","4,6 m2","Ånnerudtoppen 2, 1383 ASKER",59.8320687,10.409514
94,Åpen barnehage Borgen,Offentlig,False,1 - 5 år,0,0,0 m2,"Borgenveien 100, 1388 Borgen",59.8231961,10.4270481
95,Åpen barnehage Midtbygda,Kommunal,False,1 - 5 år,0,-1,-1 m2,"Vangsfjellveien 1, 3440 RØYKEN",59.74533,10.4141236
